,Country,ISO_3,UN_region,UN_subregion,Data_Quality
0,Afghanistan,AFG,Asia,Southern Asia,6
1,Albania,ALB,Europe,Southern Europe,6
2,Algeria,DZA,Africa,Northern Africa,5
3,Angola,AGO,Africa,Middle Africa,6
4,Antigua and Barbuda,ATG,Latin America and the Caribbean,Caribbean,2
5,Argentina,ARG,Latin America and the Caribbean,South America,6
6,Armenia,ARM,Asia,Western Asia,3B
7,Aruba,ABW,Latin America and the Caribbean,Caribbean,2
8,Australia,AUS,Oceania,Australia and New Zealand,5
9,Austria,AUT,Europe,Western Europe,5
10,Azerbaijan,AZE,Asia,Western Asia,6
11,Bahamas,BHS,Latin America and the Caribbean,Caribbean,3L
12,Bahrain,BHR,Asia,Western Asia,3L
13,Bangladesh,BGD,Asia,Southern Asia,6
14,Barbados,BRB,Latin America and the Caribbean,Caribbean,5
15,Belarus,BLR,Europe,Eastern Europe,6
16,Belgium,BEL,Europe,Western Europe,6
17,Benin,BEN,Africa,Western Africa,6
18,Bermuda,BMU,North America,North America,3T
19,Bhutan,BTN,Asia,Southern Asia,3B
20,Bolivia,BOL,Latin America and the Caribbean,South America,5
21,Bosnia and Herzegovina,BIH,Europe,Southern Europe,5
22,Botswana,BWA,Africa,Southern Africa,3B
23,Brazil,BRA,Latin America and the Caribbean,South America,5
24,Brunei Darussalam,BRN,Asia,South-Eastern Asia,3L
25,Bulgaria,BGR,Europe,Eastern Europe,5
26,Burkina Faso,BFA,Africa,Western Africa,5
27,Burundi,BDI,Africa,Eastern Africa,4
28,Cabo Verde,CPV,Africa,Western Africa,3T
29,Cambodia,KHM,Asia,South-Eastern Asia,3T
30,Cameroon,CMR,Africa,Middle Africa,6
31,Canada,CAN,North America,North America,5
32,Cayman Islands,CYM,Latin America and the Caribbean,Caribbean,3L
33,Central African Republic,CAF,Africa,Middle Africa,6
34,Chad,TCD,Africa,Middle Africa,6
35,Chile,CHL,Latin America and the Caribbean,South America,6
36,China,CHN,Asia,Eastern Asia,6
37,Colombia,COL,Latin America and the Caribbean,South America,6
38,Comoros,COM,Africa,Eastern Africa,3B
39,Congo,COG,Africa,Middle Africa,5
40,"Congo, Democratic Republic of",COD,Africa,Middle Africa,6
41,Costa Rica,CRI,Latin America and the Caribbean,Central America,5
42,Croatia,HRV,Europe,Southern Europe,6
43,Cuba,CUB,Latin America and the Caribbean,Caribbean,6
44,Cyprus,CYP,Asia,Western Asia,5
45,Czech Republic,CZE,Europe,Eastern Europe,5
46,Côte d'Ivoire,CIV,Africa,Western Africa,6
47,Denmark,DNK,Europe,Northern Europe,5
48,Djibouti,DJI,Africa,Eastern Africa,2
49,Dominica,DMA,Latin America and the Caribbean,Caribbean,5
50,Dominican Republic,DOM,Latin America and the Caribbean,Caribbean,6
51,Ecuador,ECU,Latin America and the Caribbean,South America,5
52,Egypt,EGY,Africa,Northern Africa,5
53,El Salvador,SLV,Latin America and the Caribbean,Central America,5
54,Equatorial Guinea,GNQ,Africa,Middle Africa,3L
55,Eritrea,ERI,Africa,Eastern Africa,5
56,Estonia,EST,Europe,Northern Europe,3T
57,Ethiopia,ETH,Africa,Eastern Africa,6
58,Fiji,FJI,Oceania,Melanesia,5
59,Finland,FIN,Europe,Northern Europe,3T
60,France,FRA,Europe,Western Europe,6
61,French Guiana,GUF,Latin America and the Caribbean,South America,3L
62,French Polynesia,PYF,Oceania,Polynesia,5
63,Gabon,GAB,Africa,Middle Africa,3L
64,Gambia,GMB,Africa,Western Africa,5
65,Georgia,GEO,Asia,Western Asia,3B
66,Germany,DEU,Europe,Western Europe,5
67,Ghana,GHA,Africa,Western Africa,6
68,Greece,GRC,Europe,Southern Europe,5
69,Grenada,GRD,Latin America and the Caribbean,Caribbean,3L
70,Guadeloupe,GLP,Latin America and the Caribbean,Caribbean,5
71,Guatemala,GTM,Latin America and the Caribbean,Central America,5
72,Guinea,GIN,Africa,Western Africa,5
73,Guinea-Bissau,GNB,Africa,Western Africa,6
74,Guyana,GUY,Latin America and the Caribbean,South America,5
75,Haiti,HTI,Latin America and the Caribbean,Caribbean,6
76,Honduras,HND,Latin America and the Caribbean,Central America,3B
77,Hungary,HUN,Europe,Eastern Europe,5
78,India,IND,Asia,Southern Asia,6
79,Indonesia,IDN,Asia,South-Eastern Asia,6
80,"Iran, Islamic Republic of",IRN,Asia,Southern Asia,3B
81,Iraq,IRQ,Asia,Western Asia,3B
82,Ireland,IRL,Europe,Northern Europe,5
83,Israel,ISR,Asia,Western Asia,6
84,Italy,ITA,Europe,Southern Europe,6
85,Jamaica,JAM,Latin America and the Caribbean,Caribbean,3B
86,Japan,JPN,Asia,Eastern Asia,6
87,Jordan,JOR,Asia,Western Asia,5
88,Kazakhstan,KAZ,Asia,Central Asia,3L
89,Kenya,KEN,Africa,Eastern Africa,5
90,"Korea, Democratic People's Republic of",PRK,Asia,Eastern Asia,6
91,"Korea, Republic of",KOR,Asia,Eastern Asia,5
92,Kuwait,KWT,Asia,Western Asia,3L
93,Kyrgyzstan,KGZ,Asia,Central Asia,3B
94,Lao People's Democratic Republic,LAO,Asia,South-Eastern Asia,6
95,Latvia,LVA,Europe,Northern Europe,5
96,Lebanon,LBN,Asia,Western Asia,6
97,Lesotho,LSO,Africa,Southern Africa,3B
98,Liberia,LBR,Africa,Western Africa,3B
99,Libyan Arab Jamahiriya,LBY,Africa,Northern Africa,3B
100,Lithuania,LTU,Europe,Northern Europe,5
101,Luxembourg,LUX,Europe,Western Europe,5
102,Macedonia TFYR,MKD,Europe,Southern Europe,6
103,Madagascar,MDG,Africa,Eastern Africa,6
104,Malawi,MWI,Africa,Eastern Africa,5
