,ISO_3,Years,GDP,Population
0,ABW,1986,,63000
1,ABW,1987,,62000
2,ABW,1988,,61000
3,ABW,1989,,61000
4,ABW,1990,,62000
5,ABW,1991,,65000
6,ABW,1992,,68000
7,ABW,1993,,72000
8,ABW,1994,,77000
9,ABW,1995,,80000
10,ABW,1996,,83000
11,ABW,1997,,85000
12,ABW,1998,,87000
13,ABW,1999,,89000
14,ABW,2000,,91000
15,ABW,2001,,93000
16,ABW,2002,,95000
17,ABW,2003,,97000
18,ABW,2004,,99000
19,ABW,2005,,100000
20,ABW,2006,,101000
21,ABW,2007,,101000
22,ABW,2008,,101000
23,ABW,2009,,101000
24,ABW,2010,24271.9,102000
25,ABW,2011,,102000
26,ABW,2012,,102000
27,ABW,2013,,103000
28,ABW,2014,,103000
29,ABW,2016,,100000
30,AFG,1961,,9165000
31,AFG,1962,,9344000
32,AFG,1963,,9532000
33,AFG,1964,,9729000
34,AFG,1965,,9935000
35,AFG,1966,,10149000
36,AFG,1967,,10369000
37,AFG,1968,,10600000
38,AFG,1969,,10850000
39,AFG,1970,,11121000
40,AFG,1971,,11413000
41,AFG,1972,,11717000
42,AFG,1973,,12023000
43,AFG,1974,,12316000
44,AFG,1975,,12583000
45,AFG,1976,,12831000
46,AFG,1977,,13056000
47,AFG,1978,,13223000
48,AFG,1979,,13283000
49,AFG,1980,,13211000
50,AFG,1981,,12997000
51,AFG,1982,,12667000
52,AFG,1983,,12279000
53,AFG,1984,,11913000
54,AFG,1985,,11630000
55,AFG,1986,,11439000
56,AFG,1987,,11338000
57,AFG,1988,,11376000
58,AFG,1989,,11608000
59,AFG,1990,,12068000
60,AFG,1991,,12789000
61,AFG,1992,,13746000
62,AFG,1993,,14824000
63,AFG,1994,,15870000
64,AFG,1995,,16773000
65,AFG,1996,,17482000
66,AFG,1997,,18034000
67,AFG,1998,,18511000
68,AFG,1999,,19038000
69,AFG,2000,,19702000
70,AFG,2001,,20531000
71,AFG,2002,364.57099999999997,21487000
72,AFG,2003,376.759,22507000
73,AFG,2004,364.095,23500000
74,AFG,2005,389.416,24400000
75,AFG,2006,397.986,25184000
76,AFG,2007,440.36800000000005,25878000
77,AFG,2008,444.95,26529000
78,AFG,2009,524.8240000000001,27207000
79,AFG,2010,553.3,27962000
80,AFG,2011,569.2330000000001,28809000
81,AFG,2012,630.427,29727000
82,AFG,2013,621.818,30682000
83,AFG,2014,610.242,31628000
84,AFG,2016,614.66,29820000
85,AGO,1961,,5367000
86,AGO,1962,,5466000
87,AGO,1963,,5566000
88,AGO,1964,,5666000
89,AGO,1965,,5765000
90,AGO,1966,,5864000
91,AGO,1967,,5963000
92,AGO,1968,,6066000
93,AGO,1969,,6178000
94,AGO,1970,,6301000
95,AGO,1971,,6438000
96,AGO,1972,,6588000
97,AGO,1973,,6750000
98,AGO,1974,,6924000
99,AGO,1975,,7107000
100,AGO,1976,,7300000
101,AGO,1977,,7501000
102,AGO,1978,,7717000
103,AGO,1979,,7953000
104,AGO,1980,,8212000
105,AGO,1981,,8498000
106,AGO,1982,,8808000
107,AGO,1983,,9129000
108,AGO,1984,,9445000
109,AGO,1985,2574.05,9745000
110,AGO,1986,2570.53,10024000
111,AGO,1987,2700.11,10286000
112,AGO,1988,2778.09,10545000
113,AGO,1989,2715.33,10821000
114,AGO,1990,2630.62,11128000
115,AGO,1991,2519.97,11472000
116,AGO,1992,2271.03,11849000
117,AGO,1993,1654.54,12247000
118,AGO,1994,1658.31,12648000
119,AGO,1995,1775.9,13043000
120,AGO,1996,1919.21,13425000
121,AGO,1997,2015.01,13802000
122,AGO,1998,2094.48,14188000
123,AGO,1999,2101.95,14602000
124,AGO,2000,2100.57,15059000
125,AGO,2001,2119.33,15563000
126,AGO,2002,1906.09,16110000
127,AGO,2003,1936.6,16691000
128,AGO,2004,2071.91,17296000
129,AGO,2005,2364.19,17913000
130,AGO,2006,2754.41,18541000
131,AGO,2007,3258.48,19184000
132,AGO,2008,3578.87,19842000
133,AGO,2009,3536.8,20520000
134,AGO,2010,3529.05,21220000
135,AGO,2011,3538.72,21942000
136,AGO,2012,3591.03,22686000
137,AGO,2013,3702.6,23448000
138,AGO,2014,3747.57,24228000
139,AGO,2016,4665.91,20820000
140,ALB,1961,,1686000
141,ALB,1962,,1738000
142,ALB,1963,,1791000
143,ALB,1964,,1844000
144,ALB,1965,,1896000
145,ALB,1966,,1948000
146,ALB,1967,,1999000
147,ALB,1968,,2049000
148,ALB,1969,,2100000
149,ALB,1970,,2151000
150,ALB,1971,,2202000
151,ALB,1972,,2254000
152,ALB,1973,,2306000
153,ALB,1974,,2358000
154,ALB,1975,,2411000
155,ALB,1976,,2464000
156,ALB,1977,,2518000
157,ALB,1978,,2572000
158,ALB,1979,,2626000
159,ALB,1980,2110.63,2681000
160,ALB,1981,2187.64,2735000
161,ALB,1982,2205.05,2788000
162,ALB,1983,2182.63,2843000
163,ALB,1984,2110.44,2902000
164,ALB,1985,2104.31,2967000
165,ALB,1986,2180.37,3041000
166,ALB,1987,2120.42,3121000
167,ALB,1988,2051.24,3197000
168,ALB,1989,2193.26,3254000
169,ALB,1990,1947.88,3281000
170,ALB,1991,1379.82,3275000
171,ALB,1992,1288.26,3241000
172,ALB,1993,1420.57,3190000
173,ALB,1994,1547.95,3141000
174,ALB,1995,1764.7,3107000
175,ALB,1996,1937.29,3092000
